_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|55605|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|H
0|0|0|15943|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|H
0|0|0|41184|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|H
0|0|0|8924|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|H
0|0|0|17476|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|H
0|0|0|54917|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|H
0|0|0|41189|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|H
0|0|0|66749|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|H
0|0|0|61366|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|H
0|0|0|42786|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|H
0|0|0|60772|0.0|0.0|102|NaN|NaN|NaN|1|360|1|f|H
0|0|0|18090|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|A
0|0|0|61680|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|A
0|0|0|51255|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|A
0|0|0|49230|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|A
0|0|0|18686|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|A
0|0|0|11225|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|A
0|0|0|31886|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|A
0|0|0|52941|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|A
0|0|0|57038|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|A
0|0|0|69495|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|A
0|0|0|81610|0.0|0.0|102|NaN|NaN|NaN|1|536|1|f|A
0|0|0|61680|0.0|0.0|34|NaN|NaN|NaN|1|536|1|f|A
0|0|0|42786|0.0|0.0|34|NaN|NaN|NaN|1|360|1|f|H
0|0|0|66749|49.8|50.1|1|51.7|48.4|NaN|1|360|1|t|H
0|0|0|61366|51.7|48.4|100|NaN|NaN|NaN|1|360|1|t|H
1|0|1|61366|51.7|48.4|1|43.5|54.2|NaN|1|360|1|t|H
1|0|1|41189|43.5|54.2|100|NaN|NaN|NaN|1|360|1|t|H
2|0|2|41189|43.5|54.2|1|37.5|86.8|NaN|1|360|1|t|H
4|0|4|15943|37.5|86.8|100|NaN|NaN|NaN|1|360|1|t|H
4|0|4|15943|37.5|86.8|101|36.5|73.5|NaN|1|360|1|t|H
5|0|5|15943|36.5|73.5|1|30.3|26.8|NaN|1|360|1|t|H
7|0|7|8924|30.3|26.8|100|NaN|NaN|NaN|1|360|1|t|H
7|0|7|8924|30.3|26.8|101|35.0|23.0|NaN|1|360|1|t|H
8|0|8|8924|35.0|23.0|1|39.2|2.8|NaN|1|360|1|t|H
11|0|11|61680|56.6|98.4|74|NaN|NaN|NaN|1|536|1|f|A
11|0|11|55605|40.0|1.7|1|42.3|1.9|NaN|1|360|0|t|H
13|0|13|61680|52.9|101.5|5|NaN|NaN|NaN|1|536|0|f|A
13|0|13|55605|47.1|-1.5|5|NaN|NaN|NaN|1|360|1|f|H
19|0|19|55605|48.1|0.0|1|58.7|6.5|NaN|1|360|1|f|H
20|0|20|41184|58.7|6.5|101|56.8|10.3|NaN|1|360|1|f|H
20|0|20|41184|58.7|6.5|100|NaN|NaN|NaN|1|360|1|f|H
21|0|21|41184|56.8|10.3|1|52.5|30.1|NaN|1|360|1|t|H
22|0|22|61366|52.5|30.1|100|NaN|NaN|NaN|1|360|1|t|H
22|0|22|61366|52.5|30.1|101|52.0|33.1|NaN|1|360|1|t|H
23|0|23|61366|52.0|33.1|1|45.1|68.7|NaN|1|360|1|t|H
25|0|25|15943|45.1|68.7|100|NaN|NaN|NaN|1|360|1|t|H
25|0|25|15943|45.1|68.7|101|46.3|72.6|NaN|1|360|1|t|H
26|0|26|15943|46.3|72.6|1|59.9|97.1|NaN|1|360|1|t|H
27|0|27|42786|59.9|97.1|101|58.9|96.9|NaN|1|360|1|t|H
27|0|27|42786|59.9|97.1|100|NaN|NaN|NaN|1|360|1|t|H
28|0|28|42786|58.9|96.9|1|33.6|92.9|NaN|1|360|1|t|H
30|0|30|15943|33.6|92.9|101|31.7|91.7|NaN|1|360|1|t|H
30|0|30|15943|33.6|92.9|100|NaN|NaN|NaN|1|360|1|t|H
31|0|31|15943|31.7|91.7|1|25.1|80.6|NaN|1|360|1|t|H
33|0|33|17476|25.1|80.6|100|NaN|NaN|NaN|1|360|1|t|H
33|0|33|17476|25.1|80.6|101|19.9|75.0|NaN|1|360|1|t|H
34|0|34|17476|19.9|75.0|1|31.3|21.0|NaN|1|360|1|t|H
38|0|38|8924|31.3|21.0|101|44.3|14.0|NaN|1|360|1|t|H
38|0|38|8924|31.3|21.0|100|NaN|NaN|NaN|1|360|1|t|H
39|0|39|8924|44.3|14.0|1|54.0|2.0|NaN|1|360|1|t|H
41|0|41|55605|54.0|2.0|101|55.7|1.7|NaN|1|360|1|t|H
41|0|41|55605|54.0|2.0|100|NaN|NaN|NaN|1|360|1|t|H
42|0|42|55605|55.7|1.7|1|77.2|14.7|NaN|1|360|1|t|H
47|0|47|54917|94.5|16.5|1|94.7|19.5|NaN|1|360|0|f|H
48|0|48|51255|4.2|80.9|12|NaN|NaN|NaN|1|536|1|f|A
49|0|49|51255|4.8|80.7|6|NaN|NaN|NaN|1|536|0|f|A
49|0|49|54917|95.2|19.3|6|NaN|NaN|NaN|1|360|1|f|H
72|1|12|54917|99.6|0.9|1|93.2|45.4|NaN|1|360|0|f|H
76|1|16|11225|8.3|52.5|12|NaN|NaN|NaN|1|536|1|f|A
78|1|18|69495|21.2|62.9|12|NaN|NaN|NaN|1|536|1|f|A
80|1|20|31886|37.7|46.4|44|NaN|NaN|NaN|1|536|1|f|A
80|1|20|15943|62.3|53.6|44|NaN|NaN|NaN|1|360|0|f|H
80|1|20|15943|0.0|0.0|43|58.5|33.0|NaN|1|360|1|f|H
81|1|21|31886|38.9|49.7|1|41.7|64.5|NaN|1|536|1|t|A
82|1|22|69495|42.0|64.3|49|NaN|NaN|NaN|1|536|1|f|A
82|1|22|69495|41.9|61.0|1|44.2|68.6|NaN|1|536|1|t|A
84|1|24|57038|44.2|68.6|101|70.4|62.7|NaN|1|536|1|t|A
84|1|24|57038|44.2|68.6|100|NaN|NaN|NaN|1|536|1|t|A
85|1|25|57038|70.4|62.7|1|86.1|93.6|NaN|1|536|1|t|A
91|1|31|61680|86.1|93.6|100|NaN|NaN|NaN|1|536|1|t|A
91|1|31|61680|86.1|93.6|101|85.1|72.3|NaN|1|536|1|t|A
92|1|32|61680|85.1|72.3|15|100.0|50.0|0.0|1|536|1|f|A
92|1|32|55605|12.5|31.2|10|NaN|NaN|NaN|1|360|1|f|H
187|3|7|60772|8.6|60.6|52|NaN|NaN|NaN|1|360|1|f|H
188|3|8|60772|8.6|60.6|1|20.1|66.9|NaN|1|360|1|f|H
189|3|9|17476|20.1|66.9|101|23.5|62.3|NaN|1|360|1|f|H
189|3|9|17476|20.1|66.9|100|NaN|NaN|NaN|1|360|1|f|H
190|3|10|17476|23.5|62.3|1|30.5|24.9|NaN|1|360|1|t|H
193|3|13|8924|30.5|24.9|100|NaN|NaN|NaN|1|360|1|t|H
193|3|13|8924|30.5|24.9|101|36.2|21.0|NaN|1|360|1|t|H
194|3|14|8924|36.2|21.0|1|38.9|2.0|NaN|1|360|1|t|H
196|3|16|55605|39.2|1.6|1|58.8|0.0|NaN|1|360|0|t|H
198|3|18|61680|40.8|102.0|5|NaN|NaN|NaN|1|536|1|f|A
198|3|18|55605|59.2|-2.0|5|NaN|NaN|NaN|1|360|0|f|H
201|3|21|51255|41.8|100.0|1|41.5|93.9|NaN|1|536|1|f|A
202|3|22|52941|41.2|92.8|50|NaN|NaN|NaN|1|536|1|f|A
202|3|22|61366|58.8|7.2|7|NaN|NaN|NaN|1|360|1|f|H
203|3|23|61366|59.5|5.8|1|58.4|2.3|NaN|1|360|1|t|H
204|3|24|54917|66.3|4.6|49|NaN|NaN|NaN|1|360|1|f|H
205|3|25|54917|58.4|2.3|1|66.1|6.8|NaN|1|360|1|t|H
205|3|25|66749|66.1|6.8|100|NaN|NaN|NaN|1|360|1|t|H
206|3|26|66749|66.1|6.8|1|73.0|1.4|NaN|1|360|1|t|H
207|3|27|61366|74.0|2.3|61|NaN|NaN|NaN|1|360|0|f|H
209|3|29|11225|18.2|95.9|12|NaN|NaN|NaN|1|536|1|f|A
209|3|29|61366|0.0|0.0|43|NaN|NaN|NaN|1|360|1|f|H
210|3|30|55605|55.6|4.3|44|NaN|NaN|NaN|1|360|0|f|H
210|3|30|61680|44.4|95.7|44|NaN|NaN|NaN|1|536|1|f|A
210|3|30|61680|46.0|94.4|1|50.7|80.4|NaN|1|536|1|t|A
211|3|31|55605|0.0|0.0|43|NaN|NaN|NaN|1|360|1|f|H
212|3|32|57038|51.9|87.2|49|NaN|NaN|NaN|1|536|1|f|A
213|3|33|57038|46.7|80.3|1|37.7|55.2|NaN|1|536|1|t|A
215|3|35|52941|37.7|55.2|100|NaN|NaN|NaN|1|536|1|t|A
216|3|36|52941|37.7|55.2|1|29.3|26.4|NaN|1|536|1|t|A
218|3|38|18686|29.3|26.4|100|NaN|NaN|NaN|1|536|1|t|A
218|3|38|18686|29.3|26.4|101|31.5|19.1|NaN|1|536|1|t|A
219|3|39|18686|31.5|19.1|1|36.3|4.4|NaN|1|536|1|t|A
219|3|39|81610|36.3|4.4|100|NaN|NaN|NaN|1|536|1|t|A
220|3|40|81610|36.3|4.4|1|46.4|4.0|NaN|1|536|1|t|A
222|3|42|31886|46.4|4.0|1|51.1|27.0|NaN|1|536|0|t|A
224|3|44|41184|48.4|70.0|1|39.7|39.5|NaN|1|360|1|t|H
227|3|47|55605|39.8|39.4|49|NaN|NaN|NaN|1|360|1|f|H
227|3|47|55605|40.5|39.2|1|88.6|33.9|NaN|1|360|1|t|H
230|3|50|54917|88.6|33.9|101|91.0|31.8|NaN|1|360|1|t|H
230|3|50|54917|88.6|33.9|100|NaN|NaN|NaN|1|360|1|t|H
231|3|51|54917|91.0|31.8|15|100.0|50.0|0.0|1|360|1|f|H
231|3|51|51255|7.9|66.7|10|NaN|NaN|NaN|1|536|1|f|A
233|3|53|54917|93.1|23.3|1|92.4|81.8|NaN|1|360|1|f|H
240|4|0|42786|92.4|81.8|101|75.1|93.2|NaN|1|360|1|f|H
240|4|0|42786|92.4|81.8|100|NaN|NaN|NaN|1|360|1|f|H
241|4|1|42786|75.1|93.2|1|66.0|79.9|NaN|1|360|1|t|H
241|4|1|41189|66.0|79.9|100|NaN|NaN|NaN|1|360|1|t|H
242|4|2|41189|66.0|79.9|1|62.5|94.1|NaN|1|360|1|t|H
243|4|3|15943|62.5|94.1|100|NaN|NaN|NaN|1|360|1|t|H
243|4|3|15943|62.5|94.1|101|55.4|92.9|NaN|1|360|1|t|H
244|4|4|15943|55.4|92.9|1|38.7|70.9|NaN|1|360|1|t|H
247|4|7|17476|38.7|70.9|101|36.1|64.2|NaN|1|360|1|t|H
247|4|7|17476|38.7|70.9|100|NaN|NaN|NaN|1|360|1|t|H
248|4|8|17476|36.1|64.2|1|41.9|27.6|NaN|1|360|1|t|H
251|4|11|8924|41.9|27.6|100|NaN|NaN|NaN|1|360|1|t|H
251|4|11|8924|41.9|27.6|101|53.4|18.6|NaN|1|360|1|t|H
252|4|12|8924|53.4|18.6|1|55.2|34.5|NaN|1|360|1|t|H
253|4|13|41189|55.2|34.5|101|56.1|29.4|NaN|1|360|1|t|H
253|4|13|41189|55.2|34.5|100|NaN|NaN|NaN|1|360|1|t|H
254|4|14|41189|56.1|29.4|1|60.1|19.2|NaN|1|360|1|t|H
255|4|15|41184|60.1|19.2|101|52.9|22.2|NaN|1|360|1|t|H
255|4|15|41184|60.1|19.2|100|NaN|NaN|NaN|1|360|1|t|H
256|4|16|41184|52.9|22.2|1|41.8|11.3|NaN|1|360|1|t|H
258|4|18|8924|41.8|11.3|101|42.1|12.3|NaN|1|360|1|t|H
258|4|18|8924|41.8|11.3|100|NaN|NaN|NaN|1|360|1|t|H
259|4|19|8924|42.1|12.3|1|46.0|1.6|NaN|1|360|1|t|H
259|4|19|55605|46.0|1.6|101|46.0|2.0|NaN|1|360|1|t|H
259|4|19|55605|46.0|1.6|100|NaN|NaN|NaN|1|360|1|t|H
260|4|20|55605|46.0|2.0|1|37.8|13.1|NaN|1|360|1|t|H
262|4|22|8924|37.8|13.1|100|NaN|NaN|NaN|1|360|1|t|H
262|4|22|8924|37.8|13.1|101|37.2|18.0|NaN|1|360|1|t|H
263|4|23|8924|37.2|18.0|1|42.4|45.4|NaN|1|360|1|t|H
265|4|25|41189|42.4|45.4|100|NaN|NaN|NaN|1|360|1|t|H
265|4|25|41189|42.4|45.4|101|36.3|39.2|NaN|1|360|1|t|H
266|4|26|41189|36.3|39.2|1|32.0|15.5|NaN|1|360|1|t|H
268|4|28|8924|32.0|15.5|101|35.4|14.3|NaN|1|360|1|t|H
268|4|28|8924|32.0|15.5|100|NaN|NaN|NaN|1|360|1|t|H
269|4|29|8924|35.4|14.3|1|53.5|13.2|NaN|1|360|1|t|H
272|4|32|11225|42.8|90.6|45|NaN|NaN|NaN|1|536|0|f|A
272|4|32|66749|57.2|9.4|3|NaN|NaN|NaN|1|360|1|f|H
273|4|33|52941|39.0|89.3|7|NaN|NaN|NaN|1|536|1|f|A
273|4|33|66749|61.0|10.7|3|NaN|NaN|NaN|1|360|0|f|H
274|4|34|52941|38.0|101.4|5|NaN|NaN|NaN|1|536|0|f|A
274|4|34|66749|62.0|-1.4|5|NaN|NaN|NaN|1|360|1|f|H
280|4|40|55605|60.7|0.0|1|77.5|6.5|NaN|1|360|1|f|H
282|4|42|11225|0.0|0.0|43|NaN|NaN|NaN|1|536|1|f|A
282|4|42|41184|77.5|6.5|1|64.2|3.2|NaN|1|360|1|t|H
284|4|44|55605|64.2|3.2|100|NaN|NaN|NaN|1|360|1|t|H
284|4|44|55605|64.2|3.2|101|55.9|2.3|NaN|1|360|1|t|H
285|4|45|55605|55.9|2.3|1|38.1|5.0|NaN|1|360|1|t|H
289|4|49|8924|38.1|5.0|101|37.8|19.2|NaN|1|360|1|t|H
289|4|49|8924|38.1|5.0|100|NaN|NaN|NaN|1|360|1|t|H
290|4|50|8924|37.8|19.2|1|31.0|67.8|NaN|1|360|1|t|H
291|4|51|17476|31.0|67.8|101|32.2|70.3|NaN|1|360|1|t|H
291|4|51|17476|31.0|67.8|100|NaN|NaN|NaN|1|360|1|t|H
292|4|52|17476|32.2|70.3|1|36.6|92.4|NaN|1|360|1|t|H
294|4|54|15943|36.6|92.4|100|NaN|NaN|NaN|1|360|1|t|H
294|4|54|15943|36.6|92.4|101|40.2|96.6|NaN|1|360|1|t|H
295|4|55|15943|40.2|96.6|1|57.2|95.1|NaN|1|360|1|t|H
298|4|58|69495|43.6|13.5|45|NaN|NaN|NaN|1|536|0|f|A
298|4|58|42786|56.4|86.5|3|NaN|NaN|NaN|1|360|1|f|H
299|4|59|42786|58.9|70.2|1|64.0|57.3|NaN|1|360|0|t|H
301|5|1|49230|35.0|48.8|8|NaN|NaN|NaN|1|536|1|f|A
302|5|2|52941|39.3|36.9|49|NaN|NaN|NaN|1|536|1|f|A
302|5|2|52941|39.3|36.9|1|39.6|73.3|NaN|1|536|0|t|A
304|5|4|61680|36.6|75.4|45|NaN|NaN|NaN|1|536|0|f|A
304|5|4|55605|63.4|24.6|3|NaN|NaN|NaN|1|360|1|f|H
307|5|7|55605|77.8|31.8|1|82.6|54.6|NaN|1|360|0|t|H
309|5|9|42786|0.0|0.0|43|87.0|54.9|NaN|1|360|1|f|H
310|5|10|81610|14.2|44.2|12|NaN|NaN|NaN|1|536|1|f|A
312|5|12|52941|22.7|62.3|49|NaN|NaN|NaN|1|536|1|f|A
312|5|12|52941|22.7|62.3|1|31.4|80.9|NaN|1|536|1|t|A
314|5|14|49230|41.2|96.0|50|NaN|NaN|NaN|1|536|1|f|A
314|5|14|41189|58.8|4.0|7|NaN|NaN|NaN|1|360|0|f|H
317|5|17|49230|41.9|97.8|61|NaN|NaN|NaN|1|536|1|f|A
318|5|18|49230|53.8|101.6|5|NaN|NaN|NaN|1|536|0|f|A
318|5|18|41189|46.2|-1.6|5|NaN|NaN|NaN|1|360|1|f|H
320|5|20|8924|38.6|9.4|100|NaN|NaN|NaN|1|360|1|f|H
321|5|21|41189|43.9|0.0|1|38.6|9.4|NaN|1|360|1|f|H
321|5|21|8924|38.6|9.4|1|41.7|3.5|NaN|1|360|1|t|H
325|5|25|41189|41.7|3.5|101|40.9|12.8|NaN|1|360|1|t|H
325|5|25|41189|41.7|3.5|100|NaN|NaN|NaN|1|360|1|t|H
326|5|26|41189|40.9|12.8|1|32.3|10.7|NaN|1|360|1|t|H
326|5|26|8924|32.3|10.7|100|NaN|NaN|NaN|1|360|1|t|H
326|5|26|8924|32.3|10.7|101|33.6|13.4|NaN|1|360|1|t|H
327|5|27|8924|33.6|13.4|1|29.5|61.4|NaN|1|360|1|t|H
332|5|32|17476|29.5|61.4|100|NaN|NaN|NaN|1|360|1|t|H
332|5|32|17476|29.5|61.4|101|35.1|79.7|NaN|1|360|1|t|H
333|5|33|17476|35.1|79.7|1|38.0|95.6|NaN|1|360|1|t|H
334|5|34|15943|38.0|95.6|100|NaN|NaN|NaN|1|360|1|t|H
334|5|34|15943|38.0|95.6|101|35.7|92.7|NaN|1|360|1|t|H
335|5|35|15943|35.7|92.7|1|13.9|49.7|NaN|1|360|1|t|H
337|5|37|60772|13.9|49.7|100|NaN|NaN|NaN|1|360|1|t|H
337|5|37|60772|13.9|49.7|101|13.1|50.1|NaN|1|360|1|t|H
338|5|38|60772|13.1|50.1|1|29.4|23.1|NaN|1|360|1|t|H
342|5|42|8924|29.4|23.1|101|34.9|24.9|NaN|1|360|1|t|H
342|5|42|8924|29.4|23.1|100|NaN|NaN|NaN|1|360|1|t|H
343|5|43|8924|34.9|24.9|1|31.6|81.7|NaN|1|360|1|t|H
345|5|45|17476|31.6|81.7|101|31.9|82.0|NaN|1|360|1|t|H
345|5|45|17476|31.6|81.7|100|NaN|NaN|NaN|1|360|1|t|H
346|5|46|17476|31.9|82.0|1|37.4|94.2|NaN|1|360|1|t|H
348|5|48|15943|37.4|94.2|100|NaN|NaN|NaN|1|360|1|t|H
348|5|48|15943|37.4|94.2|101|39.2|88.1|NaN|1|360|1|t|H
349|5|49|15943|39.2|88.1|1|43.2|59.7|NaN|1|360|1|t|H
350|5|50|41189|43.2|59.7|100|NaN|NaN|NaN|1|360|1|t|H
350|5|50|41189|43.2|59.7|101|43.6|45.2|NaN|1|360|1|t|H
351|5|51|41189|43.6|45.2|1|40.9|10.9|NaN|1|360|1|t|H
353|5|53|55605|40.9|10.9|100|NaN|NaN|NaN|1|360|1|t|H
353|5|53|55605|40.9|10.9|101|38.8|23.0|NaN|1|360|1|t|H
354|5|54|55605|38.8|23.0|1|28.8|74.8|NaN|1|360|1|t|H
358|5|58|17476|28.8|74.8|100|NaN|NaN|NaN|1|360|1|t|H
358|5|58|17476|28.8|74.8|101|28.3|51.5|NaN|1|360|1|t|H
359|5|59|17476|28.3|51.5|1|32.3|27.1|NaN|1|360|1|t|H
361|6|1|8924|32.3|27.1|100|NaN|NaN|NaN|1|360|1|t|H
361|6|1|8924|32.3|27.1|101|37.8|20.7|NaN|1|360|1|t|H
362|6|2|8924|37.8|20.7|1|57.4|14.3|NaN|1|360|1|t|H
364|6|4|41184|58.0|16.8|61|NaN|NaN|NaN|1|360|0|f|H
365|6|5|49230|44.4|67.2|49|NaN|NaN|NaN|1|536|1|f|A
370|6|10|49230|47.7|32.6|50|NaN|NaN|NaN|1|536|1|f|A
370|6|10|61366|52.3|67.4|7|NaN|NaN|NaN|1|360|0|f|H
373|6|13|18686|37.4|34.2|12|NaN|NaN|NaN|1|536|1|f|A
373|6|13|18686|37.4|34.2|1|54.4|45.7|NaN|1|536|0|t|A
376|6|16|41189|45.4|47.2|49|NaN|NaN|NaN|1|360|1|f|H
379|6|19|41189|48.4|29.1|1|39.4|23.1|NaN|1|360|1|t|H
381|6|21|55605|39.4|23.1|100|NaN|NaN|NaN|1|360|1|t|H
381|6|21|55605|39.4|23.1|101|43.6|28.3|NaN|1|360|1|t|H
382|6|22|55605|43.6|28.3|1|37.6|73.9|NaN|1|360|1|t|H
387|6|27|17476|37.6|73.9|101|51.3|75.2|NaN|1|360|1|t|H
387|6|27|17476|37.6|73.9|100|NaN|NaN|NaN|1|360|1|t|H
388|6|28|17476|51.3|75.2|1|67.1|78.9|NaN|1|360|1|t|H
389|6|29|66749|62.8|69.7|61|NaN|NaN|NaN|1|360|0|f|H
393|6|33|81610|3.0|6.4|49|NaN|NaN|NaN|1|536|1|f|A
393|6|33|81610|3.0|6.4|1|38.6|4.9|NaN|1|536|0|t|A
396|6|36|15943|65.3|97.2|1|73.5|88.7|NaN|1|360|1|t|H
397|6|37|41184|73.4|89.9|49|NaN|NaN|NaN|1|360|1|f|H
400|6|40|11225|23.4|2.8|7|NaN|NaN|NaN|1|536|1|f|A
400|6|40|18686|21.5|-1.4|5|NaN|NaN|NaN|1|536|0|f|A
400|6|40|41184|76.6|97.2|50|NaN|NaN|NaN|1|360|1|f|H
400|6|40|41184|78.5|101.4|5|NaN|NaN|NaN|1|360|1|f|H
417|6|57|15943|83.6|100.0|1|87.1|82.1|NaN|1|360|1|f|H
417|6|57|41184|87.1|82.1|100|NaN|NaN|NaN|1|360|1|f|H
417|6|57|41184|87.1|82.1|101|87.6|82.1|NaN|1|360|1|f|H
418|6|58|41184|87.6|82.1|1|73.3|94.8|NaN|1|360|1|t|H
421|7|1|61366|73.2|92.4|1|85.4|61.4|NaN|1|360|0|f|H
424|7|4|18686|0.0|0.0|43|NaN|NaN|NaN|1|536|1|f|A
424|7|4|18686|14.8|32.4|1|57.0|10.1|NaN|1|536|0|t|A
428|7|8|61366|39.1|82.4|1|15.3|37.6|NaN|1|360|1|t|H
432|7|12|60772|15.3|37.6|100|NaN|NaN|NaN|1|360|1|t|H
432|7|12|60772|15.3|37.6|101|14.2|39.8|NaN|1|360|1|t|H
433|7|13|60772|14.2|39.8|1|23.2|83.9|NaN|1|360|1|t|H
440|7|20|17476|23.2|83.9|101|24.2|83.2|NaN|1|360|1|t|H
440|7|20|17476|23.2|83.9|100|NaN|NaN|NaN|1|360|1|t|H
441|7|21|17476|24.2|83.2|1|29.9|28.0|NaN|1|360|1|t|H
442|7|22|8924|29.9|28.0|100|NaN|NaN|NaN|1|360|1|t|H
442|7|22|8924|29.9|28.0|101|40.7|27.0|NaN|1|360|1|t|H
443|7|23|8924|40.7|27.0|1|72.6|95.4|NaN|1|360|1|t|H
447|7|27|42786|72.6|95.4|100|NaN|NaN|NaN|1|360|1|t|H
448|7|28|42786|72.6|95.4|1|92.9|93.8|NaN|1|360|1|t|H
451|7|31|41184|92.9|93.8|100|NaN|NaN|NaN|1|360|1|t|H
451|7|31|41184|92.9|93.8|101|93.0|96.5|NaN|1|360|1|t|H
452|7|32|41184|93.0|96.5|1|89.1|97.7|NaN|1|360|1|t|H
454|7|34|42786|92.2|98.1|61|NaN|NaN|NaN|1|360|0|f|H
455|7|35|52941|0.0|0.0|43|NaN|NaN|NaN|1|536|1|f|A
455|7|35|52941|6.6|-1.4|5|NaN|NaN|NaN|1|536|1|f|A
455|7|35|42786|93.4|101.4|5|NaN|NaN|NaN|1|360|0|f|H
466|7|46|81610|9.2|0.0|1|6.3|8.6|NaN|1|536|1|f|A
467|7|47|18686|6.3|8.6|100|NaN|NaN|NaN|1|536|1|f|A
468|7|48|18686|6.3|8.6|1|40.1|33.4|NaN|1|536|1|t|A
470|7|50|57038|40.1|33.4|100|NaN|NaN|NaN|1|536|1|t|A
471|7|51|57038|40.1|33.4|1|47.0|51.3|NaN|1|536|1|t|A
473|7|53|61680|46.4|49.6|4|NaN|NaN|NaN|1|536|1|f|A
473|7|53|55605|53.6|50.4|4|NaN|NaN|NaN|1|360|0|f|H
492|8|12|11225|46.3|52.2|1|55.0|95.7|NaN|1|536|1|f|A
494|8|14|51255|55.0|95.7|101|53.7|93.3|NaN|1|536|1|f|A
494|8|14|51255|55.0|95.7|100|NaN|NaN|NaN|1|536|1|f|A
495|8|15|51255|53.7|93.3|1|39.5|77.6|NaN|1|536|1|t|A
497|8|17|18686|39.5|77.6|100|NaN|NaN|NaN|1|536|1|t|A
497|8|17|18686|39.5|77.6|101|39.0|75.1|NaN|1|536|1|t|A
498|8|18|18686|39.0|75.1|1|37.6|34.8|NaN|1|536|1|t|A
500|8|20|11225|37.6|34.8|100|NaN|NaN|NaN|1|536|1|t|A
500|8|20|11225|37.6|34.8|101|40.4|31.0|NaN|1|536|1|t|A
501|8|21|11225|40.4|31.0|1|67.0|45.5|NaN|1|536|1|t|A
502|8|22|57038|67.0|45.5|61|NaN|NaN|NaN|1|536|0|f|A
506|8|26|41189|51.9|47.6|49|NaN|NaN|NaN|1|360|1|f|H
506|8|26|41189|52.8|46.1|1|58.7|33.9|NaN|1|360|1|t|H
508|8|28|54917|61.0|32.1|1|80.0|57.9|NaN|1|360|0|t|H
510|8|30|11225|18.8|36.9|12|NaN|NaN|NaN|1|536|1|f|A
513|8|33|81610|25.3|36.4|1|32.1|50.3|NaN|1|536|1|t|A
514|8|34|49230|32.1|50.3|1|36.9|31.2|NaN|1|536|0|t|A
514|8|34|41189|62.6|70.9|8|NaN|NaN|NaN|1|360|1|f|H
514|8|34|41189|63.4|80.8|49|NaN|NaN|NaN|1|360|1|f|H
515|8|35|41189|64.8|86.9|1|56.1|94.2|NaN|1|360|1|t|H
518|8|38|15943|56.1|94.2|101|54.1|93.2|NaN|1|360|1|t|H
518|8|38|15943|56.1|94.2|100|NaN|NaN|NaN|1|360|1|t|H
519|8|39|15943|54.1|93.2|1|35.2|76.9|NaN|1|360|1|t|H
519|8|39|17476|35.2|76.9|100|NaN|NaN|NaN|1|360|1|t|H
519|8|39|17476|35.2|76.9|101|35.0|72.9|NaN|1|360|1|t|H
520|8|40|17476|35.0|72.9|1|38.4|31.2|NaN|1|360|1|t|H
522|8|42|8924|38.4|31.2|100|NaN|NaN|NaN|1|360|1|t|H
522|8|42|8924|38.4|31.2|101|40.0|26.8|NaN|1|360|1|t|H
523|8|43|8924|40.0|26.8|1|45.3|7.3|NaN|1|360|1|t|H
526|8|46|55605|43.0|15.5|1|74.9|26.1|NaN|1|360|0|t|H
529|8|49|18686|23.8|70.9|12|NaN|NaN|NaN|1|536|1|f|A
532|8|52|41184|63.8|15.8|1|69.6|2.5|NaN|1|360|1|t|H
535|8|55|54917|72.1|1.4|3|NaN|NaN|NaN|1|360|0|f|H
537|8|57|51255|7.0|96.2|12|NaN|NaN|NaN|1|536|1|f|A
538|8|58|49230|10.0|101.4|5|NaN|NaN|NaN|1|536|0|f|A
538|8|58|54917|90.0|-1.4|5|NaN|NaN|NaN|1|360|1|f|H
550|9|10|55605|91.5|0.0|1|92.2|57.9|NaN|1|360|0|f|H
554|9|14|81610|8.5|39.1|12|NaN|NaN|NaN|1|536|1|f|A
560|9|20|42786|86.4|84.1|1|75.2|88.4|NaN|1|360|1|t|H
562|9|22|11225|2.8|54.8|55|NaN|NaN|NaN|1|536|1|f|A
562|9|22|15943|75.4|87.7|2|97.2|45.1|NaN|1|360|1|f|H
565|9|25|41184|0.0|0.0|43|NaN|NaN|NaN|1|360|1|f|H
566|9|26|18090|0.0|0.0|43|NaN|NaN|NaN|1|536|1|f|A
