_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|17347|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|A
0|0|0|28103|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|A
0|0|0|34703|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|A
0|0|0|38462|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|A
0|0|0|38454|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|A
0|0|0|45034|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|A
0|0|0|37055|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|A
0|0|0|46197|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|A
0|0|0|46198|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|A
0|0|0|13139|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|A
0|0|0|7810|0.0|0.0|102|NaN|NaN|NaN|1|535|1|f|A
0|0|0|10995|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|H
0|0|0|42564|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|H
0|0|0|28146|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|H
0|0|0|60914|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|H
0|0|0|52775|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|H
0|0|0|40560|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|H
0|0|0|73678|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|H
0|0|0|21091|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|H
0|0|0|83465|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|H
0|0|0|56069|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|H
0|0|0|27671|0.0|0.0|102|NaN|NaN|NaN|1|494|1|f|H
0|0|0|42564|0.0|0.0|34|NaN|NaN|NaN|1|494|1|f|H
0|0|0|13139|0.0|0.0|34|NaN|NaN|NaN|1|535|1|f|A
1|0|1|46198|50.0|50.0|1|53.8|46.3|NaN|1|535|1|t|A
1|0|1|37055|53.8|46.3|100|NaN|NaN|NaN|1|535|1|t|A
2|0|2|37055|53.8|46.3|1|39.5|58.8|NaN|1|535|1|t|A
4|0|4|34703|39.5|58.8|1|78.9|7.9|NaN|1|535|0|t|A
7|0|7|28146|20.9|90.9|1|30.9|88.0|NaN|1|494|1|t|H
10|0|10|42564|30.9|88.0|1|36.7|78.1|NaN|1|494|0|t|H
11|0|11|46198|60.5|38.5|1|53.4|40.7|NaN|1|535|1|t|A
11|0|11|34703|53.4|40.7|100|NaN|NaN|NaN|1|535|1|t|A
12|0|12|34703|53.4|40.7|1|65.0|43.3|NaN|1|535|1|t|A
16|0|16|46198|60.0|38.2|1|64.6|32.7|NaN|1|535|0|t|A
17|0|17|56069|27.5|64.5|74|NaN|NaN|NaN|1|494|1|f|H
18|0|18|83465|49.3|49.3|1|39.1|41.6|NaN|1|494|1|t|H
19|0|19|34703|0.0|0.0|43|58.3|58.2|NaN|1|535|1|f|A
20|0|20|21091|43.2|36.1|49|NaN|NaN|NaN|1|494|1|f|H
21|0|21|21091|45.0|33.7|1|90.2|12.5|NaN|1|494|1|t|H
25|0|25|73678|90.2|12.5|101|93.9|12.6|NaN|1|494|1|t|H
25|0|25|73678|90.2|12.5|100|NaN|NaN|NaN|1|494|1|t|H
26|0|26|73678|93.9|12.6|13|100.0|42.2|18.1|1|494|1|f|H
27|0|27|73678|100.8|41.0|5|NaN|NaN|NaN|1|494|0|f|H
27|0|27|34703|-0.8|59.0|5|NaN|NaN|NaN|1|535|1|f|A
50|0|50|7810|4.7|60.6|1|65.7|34.0|NaN|1|535|1|f|A
53|0|53|28146|39.6|66.4|44|NaN|NaN|NaN|1|494|0|f|H
53|0|53|45034|62.8|31.8|44|NaN|NaN|NaN|1|535|1|f|A
53|0|53|45034|61.4|35.9|1|77.2|26.0|NaN|1|535|0|t|A
56|0|56|40560|23.3|72.1|49|NaN|NaN|NaN|1|494|1|f|H
57|0|57|40560|23.3|72.1|1|5.4|51.5|NaN|1|494|1|t|H
59|0|59|10995|5.4|51.5|100|NaN|NaN|NaN|1|494|1|t|H
60|1|0|10995|5.4|51.5|1|41.6|43.6|NaN|1|494|1|t|H
64|1|4|21091|37.0|39.8|1|38.6|35.7|NaN|1|494|0|t|H
65|1|5|13139|63.4|67.6|74|NaN|NaN|NaN|1|535|1|f|A
67|1|7|13139|54.2|101.8|5|NaN|NaN|NaN|1|535|0|f|A
67|1|7|21091|45.8|-1.8|5|NaN|NaN|NaN|1|494|1|f|H
77|1|17|27671|48.0|0.0|1|69.6|25.6|NaN|1|494|1|f|H
77|1|17|83465|69.6|25.6|100|NaN|NaN|NaN|1|494|1|f|H
77|1|17|83465|69.6|25.6|101|69.9|23.3|NaN|1|494|1|f|H
78|1|18|83465|69.9|23.3|1|66.6|9.5|NaN|1|494|1|t|H
79|1|19|73678|66.6|9.5|100|NaN|NaN|NaN|1|494|1|t|H
79|1|19|73678|66.6|9.5|101|65.4|7.3|NaN|1|494|1|t|H
80|1|20|73678|65.4|7.3|1|75.3|4.4|NaN|1|494|1|t|H
81|1|21|27671|75.3|4.4|100|NaN|NaN|NaN|1|494|1|t|H
82|1|22|27671|75.3|4.4|1|72.2|11.4|NaN|1|494|1|t|H
87|1|27|28103|6.9|96.2|4|NaN|NaN|NaN|1|535|0|f|A
87|1|27|73678|93.1|3.8|4|NaN|NaN|NaN|1|494|1|f|H
139|2|19|21091|94.2|4.4|1|89.3|39.4|NaN|1|494|0|f|H
142|2|22|38454|10.5|72.4|12|NaN|NaN|NaN|1|535|1|f|A
143|2|23|28103|10.7|82.9|49|NaN|NaN|NaN|1|535|1|f|A
143|2|23|28103|10.7|82.9|1|25.5|80.2|NaN|1|535|1|t|A
145|2|25|46198|25.5|80.2|100|NaN|NaN|NaN|1|535|1|t|A
146|2|26|46198|25.5|80.2|1|42.1|89.4|NaN|1|535|1|t|A
148|2|28|13139|42.1|89.4|61|NaN|NaN|NaN|1|535|0|f|A
148|2|28|73678|62.4|10.9|49|NaN|NaN|NaN|1|494|1|f|H
150|2|30|73678|60.9|10.9|1|42.6|33.3|NaN|1|494|1|t|H
151|2|31|52775|42.6|33.3|100|NaN|NaN|NaN|1|494|1|t|H
151|2|31|52775|42.6|33.3|101|40.9|36.3|NaN|1|494|1|t|H
152|2|32|52775|40.9|36.3|1|42.3|10.6|NaN|1|494|1|t|H
157|2|37|73678|50.6|26.5|1|53.8|23.4|NaN|1|494|0|t|H
158|2|38|13139|46.0|74.1|74|NaN|NaN|NaN|1|535|1|f|A
159|2|39|60914|55.7|37.4|1|67.4|36.7|NaN|1|494|1|t|H
160|2|40|83465|67.4|36.7|100|NaN|NaN|NaN|1|494|1|t|H
160|2|40|83465|67.4|36.7|101|69.5|33.9|NaN|1|494|1|t|H
161|2|41|83465|69.5|33.9|1|76.0|6.1|NaN|1|494|1|t|H
163|2|43|73678|76.0|6.1|100|NaN|NaN|NaN|1|494|1|t|H
163|2|43|73678|76.0|6.1|101|78.4|7.4|NaN|1|494|1|t|H
164|2|44|73678|78.4|7.4|1|91.0|28.9|NaN|1|494|1|t|H
169|2|49|83465|97.6|30.6|1|96.6|37.7|NaN|1|494|0|f|H
171|2|51|38462|3.6|60.6|12|NaN|NaN|NaN|1|535|1|f|A
172|2|52|38462|3.5|61.4|6|NaN|NaN|NaN|1|535|0|f|A
172|2|52|83465|96.5|38.6|6|NaN|NaN|NaN|1|494|1|f|H
202|3|22|28146|99.5|0.5|1|90.5|46.9|NaN|1|494|0|f|H
208|3|28|46197|9.2|53.0|4|NaN|NaN|NaN|1|535|1|f|A
208|3|28|27671|90.8|47.0|4|NaN|NaN|NaN|1|494|0|f|H
234|3|54|7810|4.8|55.3|1|72.4|96.2|NaN|1|535|1|f|A
238|3|58|46197|0.0|0.0|43|76.7|91.8|NaN|1|535|1|f|A
239|3|59|13139|79.1|93.0|1|86.5|59.4|NaN|1|535|0|f|A
241|4|1|40560|12.0|34.3|12|NaN|NaN|NaN|1|494|1|f|H
243|4|3|52775|13.6|25.6|12|NaN|NaN|NaN|1|494|1|f|H
244|4|4|13139|83.9|101.0|5|NaN|NaN|NaN|1|535|1|f|A
244|4|4|21091|16.1|-1.0|5|NaN|NaN|NaN|1|494|0|f|H
252|4|12|28103|82.3|100.0|1|89.8|92.0|NaN|1|535|1|f|A
254|4|14|13139|89.8|92.0|100|NaN|NaN|NaN|1|535|1|f|A
255|4|15|13139|89.8|92.0|1|82.1|96.0|NaN|1|535|1|t|A
257|4|17|28103|79.5|96.1|3|NaN|NaN|NaN|1|535|0|f|A
257|4|17|27671|20.5|3.9|7|NaN|NaN|NaN|1|494|1|f|H
259|4|19|28103|74.8|101.6|5|NaN|NaN|NaN|1|535|1|f|A
259|4|19|27671|25.2|-1.6|5|NaN|NaN|NaN|1|494|0|f|H
267|4|27|28103|81.7|100.0|1|90.7|84.7|NaN|1|535|1|f|A
271|4|31|13139|87.1|84.4|50|NaN|NaN|NaN|1|535|1|f|A
271|4|31|27671|12.9|15.6|7|NaN|NaN|NaN|1|494|0|f|H
273|4|33|13139|84.9|83.9|61|NaN|NaN|NaN|1|535|0|f|A
274|4|34|60914|15.7|26.2|12|NaN|NaN|NaN|1|494|1|f|H
276|4|36|52775|14.7|38.0|12|NaN|NaN|NaN|1|494|1|f|H
277|4|37|52775|0.0|0.0|43|NaN|NaN|NaN|1|494|1|f|H
278|4|38|21091|26.5|21.3|49|NaN|NaN|NaN|1|494|1|f|H
279|4|39|21091|27.9|19.5|1|20.9|11.6|NaN|1|494|1|t|H
282|4|42|73678|20.9|11.6|101|20.6|10.6|NaN|1|494|1|t|H
282|4|42|73678|20.9|11.6|100|NaN|NaN|NaN|1|494|1|t|H
283|4|43|73678|20.6|10.6|1|38.0|18.0|NaN|1|494|1|t|H
286|4|46|83465|38.0|18.0|101|53.5|23.0|NaN|1|494|1|t|H
286|4|46|83465|38.0|18.0|100|NaN|NaN|NaN|1|494|1|t|H
287|4|47|83465|53.5|23.0|1|56.0|12.6|NaN|1|494|1|t|H
288|4|48|21091|56.0|12.6|100|NaN|NaN|NaN|1|494|1|t|H
288|4|48|21091|56.0|12.6|101|61.7|12.3|NaN|1|494|1|t|H
289|4|49|21091|61.7|12.3|1|61.6|4.4|NaN|1|494|1|t|H
290|4|50|73678|61.6|4.4|100|NaN|NaN|NaN|1|494|1|t|H
290|4|50|73678|61.6|4.4|101|64.9|4.9|NaN|1|494|1|t|H
291|4|51|73678|64.9|4.9|1|86.5|7.6|NaN|1|494|1|t|H
297|4|57|83465|0.0|0.0|43|NaN|NaN|NaN|1|494|1|f|H
304|5|4|38454|6.9|80.6|4|NaN|NaN|NaN|1|535|0|f|A
304|5|4|83465|93.1|19.4|4|NaN|NaN|NaN|1|494|1|f|H
378|6|18|28146|93.1|15.0|1|92.7|46.0|NaN|1|494|0|f|H
380|6|20|45034|8.4|60.2|12|NaN|NaN|NaN|1|535|1|f|A
383|6|23|45034|6.8|101.2|5|NaN|NaN|NaN|1|535|0|f|A
383|6|23|28146|93.2|-1.2|5|NaN|NaN|NaN|1|494|1|f|H
402|6|42|27671|90.6|0.0|1|90.8|9.1|NaN|1|494|1|f|H
404|6|44|34703|0.0|0.0|43|NaN|NaN|NaN|1|535|1|f|A
404|6|44|21091|86.9|7.1|61|NaN|NaN|NaN|1|494|0|f|H
405|6|45|34703|18.5|101.1|5|NaN|NaN|NaN|1|535|1|f|A
405|6|45|21091|86.8|-1.9|5|NaN|NaN|NaN|1|494|0|f|H
418|6|58|28103|17.1|100.0|1|28.6|91.4|NaN|1|535|1|f|A
418|6|58|34703|28.6|91.4|100|NaN|NaN|NaN|1|535|1|f|A
419|6|59|34703|28.6|91.4|1|14.3|95.7|NaN|1|535|1|t|A
424|7|4|28103|14.2|95.3|1|43.1|65.4|NaN|1|535|0|t|A
425|7|5|28146|62.3|40.7|8|NaN|NaN|NaN|1|494|1|f|H
427|7|7|34703|31.6|74.2|1|41.9|60.6|NaN|1|535|0|t|A
428|7|8|28146|56.9|39.2|8|NaN|NaN|NaN|1|494|1|f|H
429|7|9|46198|45.5|66.4|61|NaN|NaN|NaN|1|535|1|f|A
430|7|10|60914|56.2|25.0|49|NaN|NaN|NaN|1|494|1|f|H
431|7|11|60914|56.2|25.0|1|53.9|16.7|NaN|1|494|1|t|H
432|7|12|27671|53.9|16.7|1|52.2|32.1|NaN|1|494|0|t|H
433|7|13|13139|46.5|67.2|8|NaN|NaN|NaN|1|535|1|f|A
434|7|14|46198|44.4|71.1|49|NaN|NaN|NaN|1|535|1|f|A
435|7|15|46198|44.4|71.1|1|59.6|35.1|NaN|1|535|1|t|A
436|7|16|45034|59.6|35.1|100|NaN|NaN|NaN|1|535|1|t|A
437|7|17|45034|59.6|35.1|1|54.3|21.0|NaN|1|535|1|t|A
438|7|18|17347|54.3|21.0|101|55.9|18.2|NaN|1|535|1|t|A
438|7|18|17347|54.3|21.0|100|NaN|NaN|NaN|1|535|1|t|A
439|7|19|17347|55.9|18.2|1|81.3|5.8|NaN|1|535|1|t|A
445|7|25|45034|79.6|15.3|1|100.0|66.7|NaN|1|535|0|f|A
447|7|27|45034|100.7|67.1|5|NaN|NaN|NaN|1|535|0|f|A
447|7|27|42564|-0.7|32.9|5|NaN|NaN|NaN|1|494|1|f|H
486|8|6|10995|5.5|42.5|1|61.5|24.4|NaN|1|494|1|f|H
491|8|11|13139|40.1|76.4|44|NaN|NaN|NaN|1|535|0|f|A
491|8|11|73678|59.9|23.6|44|NaN|NaN|NaN|1|494|1|f|H
492|8|12|73678|61.5|24.4|1|71.9|15.6|NaN|1|494|1|t|H
493|8|13|83465|71.9|15.6|100|NaN|NaN|NaN|1|494|1|t|H
494|8|14|83465|71.9|15.6|1|67.3|16.2|NaN|1|494|1|t|H
496|8|16|28103|27.8|92.4|8|NaN|NaN|NaN|1|535|1|f|A
496|8|16|73678|67.3|12.0|1|72.9|6.1|NaN|1|494|0|t|H
498|8|18|28103|28.2|101.4|5|NaN|NaN|NaN|1|535|0|f|A
498|8|18|73678|71.8|-1.4|5|NaN|NaN|NaN|1|494|1|f|H
505|8|25|27671|74.4|0.0|1|86.1|6.4|NaN|1|494|1|f|H
512|8|32|73678|97.8|11.1|1|100.0|60.9|NaN|1|494|0|f|H
515|8|35|28103|-1.2|49.7|5|NaN|NaN|NaN|1|535|1|f|A
515|8|35|73678|101.2|50.3|5|NaN|NaN|NaN|1|494|0|f|H
539|8|59|7810|4.9|57.3|1|60.1|62.1|NaN|1|535|0|f|A
543|9|3|56069|44.1|38.5|1|91.3|18.2|NaN|1|494|0|t|H
548|9|8|7810|8.3|83.0|1|18.7|81.1|NaN|1|535|1|t|A
551|9|11|38454|18.7|81.1|100|NaN|NaN|NaN|1|535|1|t|A
551|9|11|38454|18.7|81.1|101|18.8|76.4|NaN|1|535|1|t|A
552|9|12|38454|18.8|76.4|1|28.4|11.7|NaN|1|535|1|t|A
556|9|16|38462|28.4|11.7|100|NaN|NaN|NaN|1|535|1|t|A
556|9|16|38462|28.4|11.7|101|29.2|8.9|NaN|1|535|1|t|A
557|9|17|38462|29.2|8.9|1|43.2|17.6|NaN|1|535|1|t|A
559|9|19|37055|43.2|17.6|100|NaN|NaN|NaN|1|535|1|t|A
559|9|19|37055|43.2|17.6|101|42.3|18.0|NaN|1|535|1|t|A
560|9|20|37055|42.3|18.0|1|30.5|60.8|NaN|1|535|1|t|A
564|9|24|38454|30.5|60.8|101|30.2|60.5|NaN|1|535|1|t|A
564|9|24|38454|30.5|60.8|100|NaN|NaN|NaN|1|535|1|t|A
565|9|25|38454|30.2|60.5|1|32.8|21.5|NaN|1|535|1|t|A
570|9|30|38462|32.8|21.5|100|NaN|NaN|NaN|1|535|1|t|A
570|9|30|38462|32.8|21.5|101|44.7|13.8|NaN|1|535|1|t|A
571|9|31|38462|44.7|13.8|1|79.3|37.4|NaN|1|535|1|t|A
572|9|32|46197|79.9|40.2|44|NaN|NaN|NaN|1|535|1|f|A
572|9|32|52775|20.1|59.8|44|NaN|NaN|NaN|1|494|0|f|H
573|9|33|46197|80.3|40.4|1|85.8|53.8|NaN|1|535|0|t|A
575|9|35|27671|14.5|46.8|1|7.5|46.8|NaN|1|494|1|t|H
578|9|38|10995|7.7|45.8|52|NaN|NaN|NaN|1|494|1|f|H
579|9|39|10995|8.2|43.6|1|24.3|21.9|NaN|1|494|1|f|H
580|9|40|27671|24.3|21.9|100|NaN|NaN|NaN|1|494|1|f|H
580|9|40|27671|24.3|21.9|101|26.9|20.6|NaN|1|494|1|f|H
581|9|41|27671|26.9|20.6|1|35.2|8.2|NaN|1|494|1|t|H
584|9|44|21091|34.4|4.1|1|33.0|7.9|NaN|1|494|0|t|H
585|9|45|46198|70.2|97.1|74|NaN|NaN|NaN|1|535|1|f|A
586|9|46|46198|68.2|101.5|5|NaN|NaN|NaN|1|535|0|f|A
586|9|46|21091|31.8|-1.5|5|NaN|NaN|NaN|1|494|1|f|H
598|9|58|27671|28.8|0.0|1|66.7|7.4|NaN|1|494|1|f|H
605|10|5|73678|67.7|3.1|61|NaN|NaN|NaN|1|494|0|f|H
607|10|7|46198|32.9|101.4|5|NaN|NaN|NaN|1|535|1|f|A
607|10|7|73678|67.1|-1.4|5|NaN|NaN|NaN|1|494|0|f|H
608|10|8|28103|35.4|100.0|1|24.4|79.4|NaN|1|535|1|f|A
611|10|11|38454|24.4|79.4|101|21.8|69.9|NaN|1|535|1|f|A
611|10|11|38454|24.4|79.4|100|NaN|NaN|NaN|1|535|1|f|A
612|10|12|38454|21.8|69.9|1|30.0|45.7|NaN|1|535|1|t|A
614|10|14|37055|30.0|45.7|100|NaN|NaN|NaN|1|535|1|t|A
614|10|14|37055|30.0|45.7|101|30.5|43.9|NaN|1|535|1|t|A
615|10|15|37055|30.5|43.9|1|74.8|3.7|NaN|1|535|1|t|A
620|10|20|17347|76.0|3.4|1|88.5|47.5|NaN|1|535|0|f|A
621|10|21|28146|0.0|0.0|43|NaN|NaN|NaN|1|494|1|f|H
622|10|22|52775|14.6|58.8|12|NaN|NaN|NaN|1|494|1|f|H
623|10|23|45034|88.8|33.4|1|92.3|53.8|NaN|1|535|1|t|A
623|10|23|13139|92.3|53.8|100|NaN|NaN|NaN|1|535|1|t|A
623|10|23|13139|92.3|53.8|101|92.3|56.7|NaN|1|535|1|t|A
624|10|24|13139|92.3|56.7|16|100.0|53.8|15.2|1|535|1|f|A
690|11|30|83465|50.1|49.6|1|51.8|52.2|NaN|1|494|1|t|H
690|11|30|56069|51.8|52.2|100|NaN|NaN|NaN|1|494|1|t|H
691|11|31|56069|51.8|52.2|1|36.0|17.9|NaN|1|494|1|t|H
693|11|33|27671|36.0|17.9|1|64.7|0.0|NaN|1|494|0|t|H
695|11|35|13139|32.0|101.8|5|NaN|NaN|NaN|1|535|1|f|A
695|11|35|27671|68.0|-1.8|5|NaN|NaN|NaN|1|494|0|f|H
697|11|37|28103|40.7|100.0|1|40.0|90.5|NaN|1|535|1|f|A
697|11|37|37055|40.0|90.5|100|NaN|NaN|NaN|1|535|1|f|A
698|11|38|37055|40.0|90.5|1|21.4|86.9|NaN|1|535|1|t|A
699|11|39|38454|21.4|86.9|100|NaN|NaN|NaN|1|535|1|t|A
699|11|39|38454|21.4|86.9|101|20.2|84.8|NaN|1|535|1|t|A
700|11|40|38454|20.2|84.8|1|26.5|30.1|NaN|1|535|1|t|A
704|11|44|38462|26.5|30.1|100|NaN|NaN|NaN|1|535|1|t|A
704|11|44|38462|26.5|30.1|101|27.0|24.9|NaN|1|535|1|t|A
705|11|45|38462|27.0|24.9|1|26.0|59.1|NaN|1|535|1|t|A
709|11|49|38454|26.0|59.1|100|NaN|NaN|NaN|1|535|1|t|A
709|11|49|38454|26.0|59.1|101|28.4|64.2|NaN|1|535|1|t|A
710|11|50|38454|28.4|64.2|1|32.7|84.4|NaN|1|535|1|t|A
715|11|55|37055|38.2|91.5|61|NaN|NaN|NaN|1|535|0|f|A
715|11|55|21091|56.0|1.3|49|NaN|NaN|NaN|1|494|1|f|H
717|11|57|21091|41.7|9.2|1|27.4|34.6|NaN|1|494|1|t|H
718|11|58|52775|27.4|34.6|100|NaN|NaN|NaN|1|494|1|t|H
718|11|58|52775|27.4|34.6|101|26.3|35.1|NaN|1|494|1|t|H
719|11|59|52775|26.3|35.1|1|8.1|48.1|NaN|1|494|1|t|H
723|12|3|10995|10.0|42.7|1|44.0|0.0|NaN|1|494|0|t|H
725|12|5|37055|56.0|101.5|5|NaN|NaN|NaN|1|535|1|f|A
725|12|5|10995|44.0|-1.5|5|NaN|NaN|NaN|1|494|0|f|H
732|12|12|28103|49.4|100.0|1|30.1|81.5|NaN|1|535|1|f|A
733|12|13|38454|30.1|81.5|100|NaN|NaN|NaN|1|535|1|f|A
733|12|13|38454|30.1|81.5|101|27.6|77.9|NaN|1|535|1|f|A
734|12|14|38454|27.6|77.9|1|33.9|33.9|NaN|1|535|1|t|A
737|12|17|38462|33.9|33.9|101|35.4|35.5|NaN|1|535|1|t|A
737|12|17|38462|33.9|33.9|100|NaN|NaN|NaN|1|535|1|t|A
738|12|18|38462|35.4|35.5|1|45.7|16.5|NaN|1|535|1|t|A
742|12|22|46198|45.7|16.5|100|NaN|NaN|NaN|1|535|1|t|A
742|12|22|46198|45.7|16.5|101|56.6|12.5|NaN|1|535|1|t|A
743|12|23|46198|56.6|12.5|1|73.8|11.7|NaN|1|535|1|t|A
747|12|27|45034|65.6|9.8|4|NaN|NaN|NaN|1|535|1|f|A
747|12|27|56069|34.4|90.2|4|NaN|NaN|NaN|1|494|0|f|H
763|12|43|17347|68.5|7.0|1|89.4|82.0|NaN|1|535|0|f|A
765|12|45|73678|9.4|19.1|12|NaN|NaN|NaN|1|494|1|f|H
771|12|51|28103|66.7|90.0|1|42.1|69.4|NaN|1|535|1|t|A
772|12|52|38454|42.1|69.4|101|41.6|69.3|NaN|1|535|1|t|A
772|12|52|38454|42.1|69.4|100|NaN|NaN|NaN|1|535|1|t|A
773|12|53|38454|41.6|69.3|1|47.3|38.9|NaN|1|535|1|t|A
773|12|53|34703|47.3|38.9|100|NaN|NaN|NaN|1|535|1|t|A
774|12|54|34703|47.3|38.9|1|31.8|39.7|NaN|1|535|1|t|A
777|12|57|38462|31.8|39.7|101|35.0|35.7|NaN|1|535|1|t|A
777|12|57|38462|31.8|39.7|100|NaN|NaN|NaN|1|535|1|t|A
778|12|58|38462|35.0|35.7|1|46.5|67.0|NaN|1|535|1|t|A
780|13|0|46198|46.5|67.0|100|NaN|NaN|NaN|1|535|1|t|A
781|13|1|46198|46.5|67.0|1|31.1|76.1|NaN|1|535|1|t|A
782|13|2|38454|31.1|76.1|100|NaN|NaN|NaN|1|535|1|t|A
783|13|3|38454|31.1|76.1|1|44.6|95.6|NaN|1|535|1|t|A
783|13|3|28103|44.6|95.6|101|44.8|96.0|NaN|1|535|1|t|A
783|13|3|28103|44.6|95.6|100|NaN|NaN|NaN|1|535|1|t|A
784|13|4|28103|44.8|96.0|1|59.1|76.0|NaN|1|535|1|t|A
786|13|6|46198|59.1|76.0|100|NaN|NaN|NaN|1|535|1|t|A
787|13|7|46198|59.1|76.0|1|76.8|71.1|NaN|1|535|1|t|A
789|13|9|46197|76.8|71.1|100|NaN|NaN|NaN|1|535|1|t|A
789|13|9|46197|76.8|71.1|101|76.2|64.7|NaN|1|535|1|t|A
790|13|10|46197|76.2|64.7|13|100.0|42.7|77.8|1|535|1|f|A
791|13|11|52775|-1.4|45.2|5|NaN|NaN|NaN|1|494|1|f|H
791|13|11|46197|101.5|42.5|5|NaN|NaN|NaN|1|535|0|f|A
792|13|12|52775|0.0|0.0|43|NaN|NaN|NaN|1|494|1|f|H
820|13|40|10995|5.5|46.7|1|64.6|94.4|NaN|1|494|0|f|H
821|13|41|17347|39.9|9.2|44|NaN|NaN|NaN|1|535|1|f|A
821|13|41|42564|60.1|90.8|44|NaN|NaN|NaN|1|494|0|f|H
822|13|42|17347|39.8|5.8|12|NaN|NaN|NaN|1|535|1|f|A
824|13|44|40560|34.3|92.6|1|46.9|100.0|NaN|1|494|0|t|H
825|13|45|40560|43.5|101.4|5|NaN|NaN|NaN|1|494|0|f|H
825|13|45|17347|56.5|-1.4|5|NaN|NaN|NaN|1|535|1|f|A
840|14|0|17347|61.3|0.0|1|96.7|4.6|NaN|1|535|1|f|A
845|14|5|45034|97.0|3.5|1|92.2|41.6|NaN|1|535|0|f|A
846|14|6|52775|5.3|62.0|12|NaN|NaN|NaN|1|494|1|f|H
849|14|9|28146|5.1|98.7|12|NaN|NaN|NaN|1|494|1|f|H
850|14|10|52775|9.4|101.6|5|NaN|NaN|NaN|1|494|0|f|H
850|14|10|46197|90.6|-1.6|5|NaN|NaN|NaN|1|535|1|f|A
857|14|17|17347|89.4|0.0|1|93.4|9.2|NaN|1|535|1|f|A
857|14|17|13139|93.4|9.2|100|NaN|NaN|NaN|1|535|1|f|A
858|14|18|13139|93.4|9.2|1|82.7|2.6|NaN|1|535|1|t|A
860|14|20|17347|86.9|3.4|1|89.3|19.7|NaN|1|535|0|t|A
861|14|21|28146|9.8|85.3|12|NaN|NaN|NaN|1|494|1|f|H
866|14|26|42564|35.9|94.9|44|NaN|NaN|NaN|1|494|1|f|H
866|14|26|17347|64.1|5.1|44|NaN|NaN|NaN|1|535|0|f|A
867|14|27|42564|38.5|94.6|61|NaN|NaN|NaN|1|494|0|f|H
868|14|28|42564|0.0|0.0|43|NaN|NaN|NaN|1|494|1|f|H
868|14|28|17347|60.3|5.6|1|89.2|8.9|NaN|1|535|1|t|A
871|14|31|28146|13.6|79.4|8|NaN|NaN|NaN|1|494|1|f|H
871|14|31|45034|88.9|7.9|1|84.7|26.4|NaN|1|535|0|t|A
873|14|33|13139|86.4|18.2|1|80.8|9.8|NaN|1|535|1|t|A
875|14|35|45034|80.8|9.8|1|89.9|55.5|NaN|1|535|0|f|A
876|14|36|27671|7.3|50.0|12|NaN|NaN|NaN|1|494|1|f|H
878|14|38|37055|69.9|36.9|1|76.3|44.5|NaN|1|535|1|t|A
879|14|39|34703|76.3|44.5|100|NaN|NaN|NaN|1|535|1|t|A
880|14|40|34703|76.3|44.5|1|68.5|39.8|NaN|1|535|1|t|A
881|14|41|37055|68.5|39.8|1|71.6|41.8|NaN|1|535|0|t|A
882|14|42|21091|27.0|52.8|74|NaN|NaN|NaN|1|494|1|f|H
883|14|43|60914|24.2|70.3|61|NaN|NaN|NaN|1|494|1|f|H
884|14|44|37055|71.9|25.8|1|75.2|16.8|NaN|1|535|0|t|A
885|14|45|45034|0.0|0.0|43|NaN|NaN|NaN|1|535|1|f|A
885|14|45|28146|24.6|77.7|12|NaN|NaN|NaN|1|494|1|f|H
887|14|47|21091|45.0|32.5|1|43.6|11.4|NaN|1|494|1|t|H
890|14|50|73678|43.7|9.8|49|NaN|NaN|NaN|1|494|1|f|H
893|14|53|73678|56.0|5.2|50|NaN|NaN|NaN|1|494|1|f|H
893|14|53|28103|44.0|94.8|7|NaN|NaN|NaN|1|535|1|f|A
897|14|57|46197|30.5|96.3|49|NaN|NaN|NaN|1|535|1|f|A
897|14|57|46197|30.5|96.3|1|24.3|72.7|NaN|1|535|1|t|A
897|14|57|38454|24.3|72.7|100|NaN|NaN|NaN|1|535|1|t|A
898|14|58|38454|24.3|72.7|1|32.7|72.7|NaN|1|535|1|t|A
901|15|1|34703|32.7|72.7|101|33.2|72.0|NaN|1|535|1|t|A
901|15|1|34703|32.7|72.7|100|NaN|NaN|NaN|1|535|1|t|A
