_ts|min|sec|player_id|x|y|type|to_x|to_y|to_z|period|team|outcome|field_pass|side
0|0|0|15207|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|41316|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|15208|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|40691|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|38392|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|100927|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|44989|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|5155|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|55634|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|37605|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|20388|0.0|0.0|102|NaN|NaN|NaN|1|357|1|f|H
0|0|0|42899|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|55661|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|58893|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|32644|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|15312|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|28525|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|45154|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|39462|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|40232|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|19054|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|20658|0.0|0.0|102|NaN|NaN|NaN|1|632|1|f|A
0|0|0|55661|0.0|0.0|34|NaN|NaN|NaN|1|632|1|f|A
0|0|0|37605|0.0|0.0|34|NaN|NaN|NaN|1|357|1|f|H
1|0|1|5155|49.9|49.3|1|50.6|48.2|NaN|1|357|1|t|H
1|0|1|55634|50.6|48.2|100|NaN|NaN|NaN|1|357|1|t|H
2|0|2|55634|50.6|48.2|1|37.5|50.7|NaN|1|357|1|t|H
3|0|3|44989|37.5|50.7|100|NaN|NaN|NaN|1|357|1|t|H
4|0|4|44989|37.5|50.7|1|29.8|15.9|NaN|1|357|1|t|H
7|0|7|40691|32.7|8.9|1|73.6|38.9|NaN|1|357|0|t|H
10|0|10|28525|25.0|67.9|12|NaN|NaN|NaN|1|632|1|f|A
11|0|11|32644|30.6|80.0|1|22.0|92.1|NaN|1|632|1|t|A
12|0|12|58893|22.0|92.1|49|NaN|NaN|NaN|1|632|1|f|A
13|0|13|58893|22.7|93.9|1|43.7|84.8|NaN|1|632|1|t|A
17|0|17|40232|39.0|69.8|50|NaN|NaN|NaN|1|632|1|f|A
17|0|17|40691|61.0|30.2|7|NaN|NaN|NaN|1|357|1|f|H
19|0|19|44989|62.9|44.9|49|NaN|NaN|NaN|1|357|1|f|H
19|0|19|44989|62.9|44.9|1|72.2|43.1|NaN|1|357|1|t|H
21|0|21|55634|71.3|43.6|1|72.3|84.1|NaN|1|357|0|t|H
23|0|23|20658|26.4|9.2|1|34.2|8.2|NaN|1|632|1|t|A
26|0|26|45154|37.4|5.6|1|57.6|15.9|NaN|1|632|0|t|A
29|0|29|15208|37.2|82.1|49|NaN|NaN|NaN|1|357|1|f|H
30|0|30|15208|38.1|82.0|1|31.0|87.2|NaN|1|357|1|t|H
30|0|30|38392|31.0|87.2|100|NaN|NaN|NaN|1|357|1|t|H
31|0|31|38392|31.0|87.2|1|37.5|96.3|NaN|1|357|1|t|H
35|0|35|41316|37.5|96.3|101|42.6|96.6|NaN|1|357|1|t|H
35|0|35|41316|37.5|96.3|100|NaN|NaN|NaN|1|357|1|t|H
36|0|36|41316|42.6|96.6|1|26.6|82.3|NaN|1|357|1|t|H
38|0|38|38392|26.6|82.3|101|26.2|80.2|NaN|1|357|1|t|H
38|0|38|38392|26.6|82.3|100|NaN|NaN|NaN|1|357|1|t|H
39|0|39|38392|26.2|80.2|1|30.1|53.0|NaN|1|357|1|t|H
41|0|41|15208|30.1|53.0|101|31.7|51.2|NaN|1|357|1|t|H
41|0|41|15208|30.1|53.0|100|NaN|NaN|NaN|1|357|1|t|H
42|0|42|15208|31.7|51.2|1|34.1|29.4|NaN|1|357|1|t|H
46|0|46|40691|49.4|32.4|1|72.1|100.0|NaN|1|357|0|t|H
49|0|49|55661|28.6|-1.4|5|NaN|NaN|NaN|1|632|1|f|A
49|0|49|40691|71.4|101.4|5|NaN|NaN|NaN|1|357|0|f|H
63|1|3|20658|29.3|0.0|1|33.0|16.2|NaN|1|632|0|f|A
64|1|4|44989|63.7|90.5|49|NaN|NaN|NaN|1|357|1|f|H
64|1|4|44989|62.8|87.6|1|62.7|79.6|NaN|1|357|1|t|H
65|1|5|15208|62.7|79.6|101|59.1|74.8|NaN|1|357|1|t|H
65|1|5|15208|62.7|79.6|100|NaN|NaN|NaN|1|357|1|t|H
66|1|6|15208|59.1|74.8|1|74.7|72.3|NaN|1|357|1|t|H
68|1|8|5155|73.9|72.3|1|97.6|78.1|NaN|1|357|0|t|H
74|1|14|42899|4.3|25.0|49|NaN|NaN|NaN|1|632|1|f|A
76|1|16|42899|9.7|35.8|1|21.8|94.1|NaN|1|632|1|t|A
82|1|22|58893|22.7|95.3|1|59.5|96.5|NaN|1|632|0|t|A
87|1|27|40691|37.7|14.1|49|NaN|NaN|NaN|1|357|1|f|H
87|1|27|40691|37.7|14.1|1|45.8|27.4|NaN|1|357|1|t|H
88|1|28|15208|45.8|27.4|100|NaN|NaN|NaN|1|357|1|t|H
88|1|28|15208|45.8|27.4|101|45.4|27.0|NaN|1|357|1|t|H
89|1|29|15208|45.4|27.0|1|55.0|26.2|NaN|1|357|1|t|H
91|1|31|44989|55.0|26.2|101|55.0|27.0|NaN|1|357|1|t|H
91|1|31|44989|55.0|26.2|100|NaN|NaN|NaN|1|357|1|t|H
92|1|32|44989|55.0|27.0|1|68.7|22.7|NaN|1|357|1|t|H
93|1|33|100927|68.7|22.7|101|68.3|21.5|NaN|1|357|1|t|H
93|1|33|100927|68.7|22.7|100|NaN|NaN|NaN|1|357|1|t|H
94|1|34|100927|68.3|21.5|1|72.9|3.2|NaN|1|357|1|t|H
95|1|35|55634|72.9|3.2|101|72.9|3.4|NaN|1|357|1|t|H
95|1|35|55634|72.9|3.2|100|NaN|NaN|NaN|1|357|1|t|H
96|1|36|55634|72.9|3.4|1|75.0|34.2|NaN|1|357|1|t|H
99|1|39|37605|76.5|39.2|1|87.7|33.6|NaN|1|357|0|t|H
100|1|40|32644|14.3|70.2|12|NaN|NaN|NaN|1|632|1|f|A
107|1|47|38392|25.5|89.1|1|49.5|98.9|NaN|1|357|1|t|H
108|1|48|41316|49.5|98.9|61|NaN|NaN|NaN|1|357|0|f|H
109|1|49|40232|48.2|-1.6|5|NaN|NaN|NaN|1|632|1|f|A
109|1|49|41316|51.8|101.6|5|NaN|NaN|NaN|1|357|0|f|H
121|2|1|20658|46.5|0.0|1|47.3|9.1|NaN|1|632|1|f|A
122|2|2|19054|47.3|9.1|100|NaN|NaN|NaN|1|632|1|f|A
123|2|3|19054|47.3|9.1|1|48.0|1.9|NaN|1|632|1|t|A
124|2|4|20658|48.0|1.9|100|NaN|NaN|NaN|1|632|1|t|A
125|2|5|20658|48.0|1.9|1|34.0|5.3|NaN|1|632|1|t|A
127|2|7|15312|34.0|5.3|1|39.5|9.5|NaN|1|632|0|t|A
127|2|7|19054|0.0|0.0|43|31.2|6.5|NaN|1|632|1|f|A
127|2|7|44989|60.4|82.6|8|NaN|NaN|NaN|1|357|1|f|H
127|2|7|44989|60.4|82.6|49|NaN|NaN|NaN|1|357|1|f|H
127|2|7|44989|60.4|82.6|1|64.4|97.2|NaN|1|357|1|t|H
128|2|8|5155|64.4|97.2|1|67.6|76.4|NaN|1|357|0|t|H
130|2|10|32644|29.9|26.5|61|NaN|NaN|NaN|1|632|0|f|A
132|2|12|58893|26.0|40.8|4|NaN|NaN|NaN|1|632|0|f|A
132|2|12|55634|72.8|53.8|4|NaN|NaN|NaN|1|357|1|f|H
199|3|19|55634|72.4|54.0|1|72.7|49.3|NaN|1|357|1|f|H
199|3|19|15207|72.7|49.3|100|NaN|NaN|NaN|1|357|1|f|H
200|3|20|15207|72.7|49.3|1|72.5|52.4|NaN|1|357|1|t|H
200|3|20|44989|72.5|52.4|100|NaN|NaN|NaN|1|357|1|t|H
201|3|21|44989|72.5|52.4|15|100.0|50.0|0.0|1|357|1|f|H
201|3|21|55661|15.6|49.7|10|NaN|NaN|NaN|1|632|1|f|A
204|3|24|38392|56.0|67.3|1|66.4|75.1|NaN|1|357|0|t|H
207|3|27|39462|38.0|20.7|1|60.9|13.1|NaN|1|632|1|t|A
211|3|31|45154|63.2|14.0|49|NaN|NaN|NaN|1|632|1|f|A
212|3|32|45154|67.9|24.4|1|78.6|30.9|NaN|1|632|0|t|A
214|3|34|40691|21.3|68.8|12|NaN|NaN|NaN|1|357|1|f|H
215|3|35|40232|89.9|27.0|13|100.0|99.3|11.1|1|632|1|f|A
222|3|42|55661|95.8|101.2|5|NaN|NaN|NaN|1|632|0|f|A
222|3|42|40691|4.2|-1.2|5|NaN|NaN|NaN|1|357|1|f|H
232|3|52|15207|3.2|0.0|1|8.4|14.6|NaN|1|357|1|f|H
233|3|53|58893|0.0|0.0|43|53.7|92.7|NaN|1|632|1|f|A
233|3|53|40691|8.4|14.6|1|42.5|24.1|NaN|1|357|0|t|H
235|3|55|28525|53.7|92.7|1|62.8|100.0|NaN|1|632|0|t|A
235|3|55|28525|62.7|101.3|5|NaN|NaN|NaN|1|632|0|f|A
235|3|55|40691|37.3|-1.3|5|NaN|NaN|NaN|1|357|1|f|H
250|4|10|15207|39.0|0.0|1|55.4|14.9|NaN|1|357|1|f|H
251|4|11|5155|55.4|14.9|100|NaN|NaN|NaN|1|357|1|f|H
251|4|11|5155|55.4|14.9|101|54.9|12.6|NaN|1|357|1|f|H
252|4|12|5155|54.9|12.6|1|62.6|16.1|NaN|1|357|1|t|H
253|4|13|55634|62.6|16.1|100|NaN|NaN|NaN|1|357|1|t|H
254|4|14|55634|62.6|16.1|1|55.0|19.8|NaN|1|357|1|t|H
255|4|15|100927|55.0|19.8|100|NaN|NaN|NaN|1|357|1|t|H
256|4|16|100927|55.0|19.8|1|39.8|19.1|NaN|1|357|1|t|H
257|4|17|15208|39.8|19.1|100|NaN|NaN|NaN|1|357|1|t|H
257|4|17|15208|39.8|19.1|101|37.4|33.6|NaN|1|357|1|t|H
258|4|18|15208|37.4|33.6|1|33.7|52.5|NaN|1|357|1|t|H
258|4|18|38392|33.7|52.5|100|NaN|NaN|NaN|1|357|1|t|H
259|4|19|38392|33.7|52.5|1|45.4|89.7|NaN|1|357|1|t|H
261|4|21|41316|45.4|89.7|100|NaN|NaN|NaN|1|357|1|t|H
262|4|22|41316|45.4|89.7|1|41.2|83.5|NaN|1|357|1|t|H
263|4|23|44989|41.2|83.5|101|41.1|85.3|NaN|1|357|1|t|H
263|4|23|44989|41.2|83.5|100|NaN|NaN|NaN|1|357|1|t|H
264|4|24|44989|41.1|85.3|1|43.9|96.0|NaN|1|357|1|t|H
267|4|27|41316|43.9|96.0|101|40.2|91.4|NaN|1|357|1|t|H
267|4|27|41316|43.9|96.0|100|NaN|NaN|NaN|1|357|1|t|H
268|4|28|41316|40.2|91.4|1|28.4|75.0|NaN|1|357|1|t|H
269|4|29|38392|28.4|75.0|100|NaN|NaN|NaN|1|357|1|t|H
269|4|29|38392|28.4|75.0|101|26.4|73.5|NaN|1|357|1|t|H
270|4|30|38392|26.4|73.5|1|32.1|60.2|NaN|1|357|1|t|H
274|4|34|15208|32.1|60.2|100|NaN|NaN|NaN|1|357|1|t|H
274|4|34|15208|32.1|60.2|101|46.3|60.8|NaN|1|357|1|t|H
275|4|35|15208|46.3|60.8|1|60.0|85.6|NaN|1|357|1|t|H
276|4|36|37605|60.0|85.6|100|NaN|NaN|NaN|1|357|1|t|H
277|4|37|37605|60.0|85.6|1|43.4|91.4|NaN|1|357|1|t|H
277|4|37|41316|43.4|91.4|100|NaN|NaN|NaN|1|357|1|t|H
278|4|38|41316|43.4|91.4|1|43.1|74.8|NaN|1|357|1|t|H
279|4|39|44989|43.1|74.8|100|NaN|NaN|NaN|1|357|1|t|H
279|4|39|44989|43.1|74.8|101|43.7|70.0|NaN|1|357|1|t|H
280|4|40|44989|43.7|70.0|1|39.0|62.1|NaN|1|357|1|t|H
284|4|44|15208|39.0|62.1|101|44.7|43.0|NaN|1|357|1|t|H
284|4|44|15208|39.0|62.1|100|NaN|NaN|NaN|1|357|1|t|H
285|4|45|15208|44.7|43.0|1|52.2|35.2|NaN|1|357|1|t|H
285|4|45|100927|52.2|35.2|100|NaN|NaN|NaN|1|357|1|t|H
286|4|46|100927|52.2|35.2|1|43.1|27.0|NaN|1|357|1|t|H
287|4|47|40691|43.1|27.0|101|42.5|22.1|NaN|1|357|1|t|H
287|4|47|40691|43.1|27.0|100|NaN|NaN|NaN|1|357|1|t|H
288|4|48|40691|42.5|22.1|1|62.4|3.7|NaN|1|357|1|t|H
290|4|50|15207|62.4|3.7|101|62.7|4.7|NaN|1|357|1|t|H
290|4|50|15207|62.4|3.7|100|NaN|NaN|NaN|1|357|1|t|H
291|4|51|15207|62.7|4.7|1|72.6|37.0|NaN|1|357|1|t|H
291|4|51|37605|72.6|37.0|100|NaN|NaN|NaN|1|357|1|t|H
292|4|52|37605|72.6|37.0|1|92.3|19.1|NaN|1|357|1|t|H
295|4|55|55634|94.2|23.6|1|87.8|45.4|NaN|1|357|0|t|H
296|4|56|39462|12.9|60.8|8|NaN|NaN|NaN|1|632|1|f|A
297|4|57|42899|3.7|45.5|52|NaN|NaN|NaN|1|632|1|f|A
303|5|3|42899|13.4|41.0|1|64.3|23.6|NaN|1|632|1|t|A
305|5|5|19054|64.3|23.6|61|NaN|NaN|NaN|1|632|0|f|A
307|5|7|38392|37.8|92.3|61|NaN|NaN|NaN|1|357|0|f|H
316|5|16|19054|67.4|6.8|1|75.6|13.5|NaN|1|632|0|t|A
318|5|18|41316|21.7|85.6|8|NaN|NaN|NaN|1|357|1|f|H
319|5|19|41316|21.7|85.6|1|29.2|82.4|NaN|1|357|1|t|H
324|5|24|44989|29.6|79.7|1|30.8|75.3|NaN|1|357|0|t|H
326|5|26|19054|84.1|-1.3|5|NaN|NaN|NaN|1|632|1|f|A
326|5|26|44989|15.9|101.3|5|NaN|NaN|NaN|1|357|0|f|H
349|5|49|20658|85.1|0.0|1|65.6|4.6|NaN|1|632|1|f|A
351|5|51|39462|65.6|4.6|100|NaN|NaN|NaN|1|632|1|f|A
351|5|51|39462|65.6|4.6|101|65.3|4.7|NaN|1|632|1|f|A
352|5|52|39462|65.3|4.7|1|47.0|54.9|NaN|1|632|1|t|A
355|5|55|28525|47.0|54.9|100|NaN|NaN|NaN|1|632|1|t|A
355|5|55|28525|47.0|54.9|101|48.4|55.4|NaN|1|632|1|t|A
356|5|56|28525|48.4|55.4|1|57.4|63.7|NaN|1|632|1|t|A
357|5|57|32644|57.4|63.7|100|NaN|NaN|NaN|1|632|1|t|A
358|5|58|32644|57.4|63.7|1|60.8|94.8|NaN|1|632|1|t|A
360|6|0|58893|60.8|94.8|1|67.2|90.8|NaN|1|632|0|t|A
362|6|2|15207|32.2|14.9|1|61.2|21.5|NaN|1|357|1|t|H
364|6|4|5155|60.5|19.4|49|NaN|NaN|NaN|1|357|1|f|H
365|6|5|5155|59.9|14.4|1|56.9|4.4|NaN|1|357|1|t|H
365|6|5|55634|56.9|4.4|100|NaN|NaN|NaN|1|357|1|t|H
365|6|5|55634|56.9|4.4|101|56.3|4.4|NaN|1|357|1|t|H
366|6|6|55634|56.3|4.4|1|37.1|15.6|NaN|1|357|1|t|H
367|6|7|15207|37.1|15.6|101|35.8|15.9|NaN|1|357|1|t|H
367|6|7|15207|37.1|15.6|100|NaN|NaN|NaN|1|357|1|t|H
368|6|8|15207|35.8|15.9|1|40.4|31.3|NaN|1|357|1|t|H
369|6|9|15208|40.4|31.3|100|NaN|NaN|NaN|1|357|1|t|H
370|6|10|15208|40.4|31.3|1|43.8|45.4|NaN|1|357|1|t|H
372|6|12|44989|43.8|45.4|101|54.5|29.8|NaN|1|357|1|t|H
372|6|12|44989|43.8|45.4|100|NaN|NaN|NaN|1|357|1|t|H
373|6|13|44989|54.5|29.8|1|67.9|5.2|NaN|1|357|1|t|H
375|6|15|55634|67.9|5.2|101|68.4|5.9|NaN|1|357|1|t|H
375|6|15|55634|67.9|5.2|100|NaN|NaN|NaN|1|357|1|t|H
376|6|16|55634|68.4|5.9|1|56.9|18.2|NaN|1|357|1|t|H
377|6|17|15207|56.9|18.2|100|NaN|NaN|NaN|1|357|1|t|H
378|6|18|15207|56.9|18.2|1|62.3|26.4|NaN|1|357|1|t|H
378|6|18|44989|62.3|26.4|100|NaN|NaN|NaN|1|357|1|t|H
379|6|19|44989|62.3|26.4|1|57.7|11.9|NaN|1|357|1|t|H
381|6|21|15207|57.7|11.9|1|97.3|16.1|NaN|1|357|0|t|H
385|6|25|15312|5.5|89.9|12|NaN|NaN|NaN|1|632|1|f|A
385|6|25|15207|0.0|0.0|43|NaN|NaN|NaN|1|357|1|f|H
386|6|26|15312|4.2|100.9|5|NaN|NaN|NaN|1|632|0|f|A
386|6|26|15207|95.8|-0.9|5|NaN|NaN|NaN|1|357|1|f|H
392|6|32|55634|96.9|0.0|1|92.8|13.5|NaN|1|357|1|f|H
392|6|32|100927|92.8|13.5|100|NaN|NaN|NaN|1|357|1|f|H
393|6|33|100927|92.8|13.5|1|93.1|5.3|NaN|1|357|1|t|H
393|6|33|55634|93.1|5.3|100|NaN|NaN|NaN|1|357|1|t|H
394|6|34|55634|93.1|5.3|1|72.0|15.3|NaN|1|357|1|t|H
396|6|36|15207|72.0|15.3|100|NaN|NaN|NaN|1|357|1|t|H
396|6|36|15207|72.0|15.3|101|70.6|19.1|NaN|1|357|1|t|H
397|6|37|15207|70.6|19.1|1|89.8|7.1|NaN|1|357|1|t|H
400|6|40|42899|4.1|55.5|52|NaN|NaN|NaN|1|632|1|f|A
400|6|40|55634|90.0|7.6|1|96.4|48.4|NaN|1|357|0|f|H
414|6|54|42899|13.5|56.6|1|45.3|33.1|NaN|1|632|0|t|A
416|6|56|41316|53.8|80.6|49|NaN|NaN|NaN|1|357|1|f|H
416|6|56|41316|53.8|80.6|1|63.6|96.3|NaN|1|357|1|t|H
417|6|57|37605|63.6|96.3|100|NaN|NaN|NaN|1|357|1|t|H
418|6|58|37605|63.6|96.3|1|60.0|90.3|NaN|1|357|1|t|H
418|6|58|44989|60.0|90.3|101|60.7|88.7|NaN|1|357|1|t|H
418|6|58|44989|60.0|90.3|100|NaN|NaN|NaN|1|357|1|t|H
419|6|59|44989|60.7|88.7|1|56.0|93.9|NaN|1|357|1|t|H
420|7|0|41316|56.0|93.9|101|56.0|92.1|NaN|1|357|1|t|H
420|7|0|41316|56.0|93.9|100|NaN|NaN|NaN|1|357|1|t|H
421|7|1|41316|56.0|92.1|1|53.8|75.3|NaN|1|357|1|t|H
423|7|3|15208|53.8|75.3|101|53.8|74.4|NaN|1|357|1|t|H
423|7|3|15208|53.8|75.3|100|NaN|NaN|NaN|1|357|1|t|H
424|7|4|15208|53.8|74.4|1|65.6|95.4|NaN|1|357|1|t|H
427|7|7|37605|65.6|95.4|100|NaN|NaN|NaN|1|357|1|t|H
427|7|7|37605|65.6|95.4|101|69.8|96.0|NaN|1|357|1|t|H
428|7|8|37605|69.8|96.0|1|60.6|83.5|NaN|1|357|1|t|H
431|7|11|15208|60.6|83.5|101|61.0|77.9|NaN|1|357|1|t|H
431|7|11|15208|60.6|83.5|100|NaN|NaN|NaN|1|357|1|t|H
432|7|12|15208|61.0|77.9|1|65.4|59.6|NaN|1|357|1|t|H
433|7|13|100927|65.4|59.6|100|NaN|NaN|NaN|1|357|1|t|H
434|7|14|100927|65.4|59.6|1|59.3|11.4|NaN|1|357|1|t|H
435|7|15|15207|59.3|11.4|101|57.6|13.4|NaN|1|357|1|t|H
435|7|15|15207|59.3|11.4|100|NaN|NaN|NaN|1|357|1|t|H
436|7|16|15207|57.6|13.4|1|60.2|27.9|NaN|1|357|1|t|H
439|7|19|15208|60.2|27.9|100|NaN|NaN|NaN|1|357|1|t|H
439|7|19|15208|60.2|27.9|101|60.8|26.7|NaN|1|357|1|t|H
440|7|20|15208|60.8|26.7|1|70.4|23.7|NaN|1|357|1|t|H
441|7|21|100927|70.4|23.7|100|NaN|NaN|NaN|1|357|1|t|H
442|7|22|100927|70.4|23.7|1|74.4|14.3|NaN|1|357|1|t|H
442|7|22|55634|74.4|14.3|101|74.9|13.1|NaN|1|357|1|t|H
442|7|22|55634|74.4|14.3|100|NaN|NaN|NaN|1|357|1|t|H
443|7|23|55634|74.9|13.1|1|64.2|21.2|NaN|1|357|1|t|H
445|7|25|15207|64.2|21.2|101|64.2|30.1|NaN|1|357|1|t|H
445|7|25|15207|64.2|21.2|100|NaN|NaN|NaN|1|357|1|t|H
446|7|26|15207|64.2|30.1|1|54.3|61.1|NaN|1|357|1|t|H
447|7|27|38392|54.3|61.1|100|NaN|NaN|NaN|1|357|1|t|H
447|7|27|38392|54.3|61.1|101|54.3|61.4|NaN|1|357|1|t|H
448|7|28|38392|54.3|61.4|1|62.4|91.4|NaN|1|357|1|t|H
451|7|31|41316|62.4|91.4|100|NaN|NaN|NaN|1|357|1|t|H
451|7|31|41316|62.4|91.4|101|63.6|93.9|NaN|1|357|1|t|H
452|7|32|41316|63.6|93.9|1|45.1|80.9|NaN|1|357|1|t|H
452|7|32|38392|45.1|80.9|100|NaN|NaN|NaN|1|357|1|t|H
453|7|33|38392|45.1|80.9|1|57.2|86.0|NaN|1|357|1|t|H
456|7|36|44989|57.2|86.0|100|NaN|NaN|NaN|1|357|1|t|H
456|7|36|44989|57.2|86.0|101|57.2|85.4|NaN|1|357|1|t|H
457|7|37|44989|57.2|85.4|1|42.5|72.1|NaN|1|357|1|t|H
458|7|38|38392|42.5|72.1|100|NaN|NaN|NaN|1|357|1|t|H
459|7|39|38392|42.5|72.1|1|54.3|91.7|NaN|1|357|1|t|H
460|7|40|44989|54.3|91.7|100|NaN|NaN|NaN|1|357|1|t|H
461|7|41|44989|54.3|91.7|1|54.9|69.9|NaN|1|357|1|t|H
464|7|44|15208|54.9|69.9|101|53.4|62.3|NaN|1|357|1|t|H
464|7|44|15208|54.9|69.9|100|NaN|NaN|NaN|1|357|1|t|H
465|7|45|15208|53.4|62.3|1|65.2|9.7|NaN|1|357|1|t|H
469|7|49|15207|65.2|9.7|100|NaN|NaN|NaN|1|357|1|t|H
469|7|49|15207|65.2|9.7|101|69.9|28.2|NaN|1|357|1|t|H
470|7|50|15207|69.9|28.2|1|69.2|54.2|NaN|1|357|1|t|H
475|7|55|32644|28.7|58.2|74|NaN|NaN|NaN|1|632|1|f|A
475|7|55|44989|69.6|53.6|1|72.2|50.0|NaN|1|357|0|t|H
477|7|57|55661|35.7|57.3|49|NaN|NaN|NaN|1|632|1|f|A
477|7|57|55661|34.5|56.3|1|43.0|33.0|NaN|1|632|1|t|A
482|8|2|19054|0.0|0.0|43|NaN|NaN|NaN|1|632|1|f|A
482|8|2|19054|76.0|13.9|3|NaN|NaN|NaN|1|632|1|f|A
482|8|2|38392|24.0|86.1|45|NaN|NaN|NaN|1|357|0|f|H
487|8|7|19054|95.8|28.5|1|90.9|36.6|NaN|1|632|0|t|A
489|8|9|15208|7.5|64.0|1|10.1|77.0|NaN|1|357|1|t|H
491|8|11|38392|10.5|78.1|49|NaN|NaN|NaN|1|357|1|f|H
493|8|13|38392|25.3|86.5|1|29.2|47.6|NaN|1|357|1|t|H
495|8|15|100927|29.2|47.6|101|31.1|43.6|NaN|1|357|1|t|H
495|8|15|100927|29.2|47.6|100|NaN|NaN|NaN|1|357|1|t|H
496|8|16|100927|31.1|43.6|1|37.3|23.9|NaN|1|357|1|t|H
499|8|19|15207|37.3|23.9|101|44.0|28.0|NaN|1|357|1|t|H
499|8|19|15207|37.3|23.9|100|NaN|NaN|NaN|1|357|1|t|H
500|8|20|15207|44.0|28.0|1|43.3|53.6|NaN|1|357|1|t|H
502|8|22|15208|43.3|53.6|101|44.7|54.0|NaN|1|357|1|t|H
502|8|22|15208|43.3|53.6|100|NaN|NaN|NaN|1|357|1|t|H
503|8|23|15208|44.7|54.0|1|63.9|60.8|NaN|1|357|1|t|H
503|8|23|37605|63.9|60.8|100|NaN|NaN|NaN|1|357|1|t|H
504|8|24|37605|63.9|60.8|1|54.9|63.1|NaN|1|357|1|t|H
506|8|26|44989|54.9|63.1|100|NaN|NaN|NaN|1|357|1|t|H
507|8|27|44989|54.9|63.1|1|68.7|25.2|NaN|1|357|1|t|H
508|8|28|15207|68.7|25.2|100|NaN|NaN|NaN|1|357|1|t|H
508|8|28|15207|68.7|25.2|101|68.7|27.0|NaN|1|357|1|t|H
509|8|29|15207|68.7|27.0|1|72.3|33.4|NaN|1|357|1|t|H
515|8|35|37605|72.9|7.6|1|69.4|8.8|NaN|1|357|0|t|H
516|8|36|39462|30.1|89.4|74|NaN|NaN|NaN|1|632|1|f|A
517|8|37|39462|32.0|101.5|5|NaN|NaN|NaN|1|632|0|f|A
517|8|37|37605|68.0|-1.5|5|NaN|NaN|NaN|1|357|1|f|H
521|8|41|55634|69.5|0.0|1|59.0|23.0|NaN|1|357|1|f|H
525|8|45|40691|59.0|23.0|100|NaN|NaN|NaN|1|357|1|f|H
525|8|45|40691|59.0|23.0|101|59.8|22.4|NaN|1|357|1|f|H
526|8|46|40691|59.8|22.4|1|63.4|2.8|NaN|1|357|1|t|H
527|8|47|15207|63.4|2.8|100|NaN|NaN|NaN|1|357|1|t|H
527|8|47|15207|63.4|2.8|101|61.8|10.1|NaN|1|357|1|t|H
528|8|48|15207|61.8|10.1|1|61.6|33.6|NaN|1|357|1|t|H
531|8|51|15208|61.6|33.6|100|NaN|NaN|NaN|1|357|1|t|H
531|8|51|15208|61.6|33.6|101|65.0|32.7|NaN|1|357|1|t|H
532|8|52|15208|65.0|32.7|1|72.5|15.8|NaN|1|357|1|t|H
534|8|54|37605|72.5|15.8|100|NaN|NaN|NaN|1|357|1|t|H
534|8|54|37605|72.5|15.8|101|72.0|19.2|NaN|1|357|1|t|H
535|8|55|37605|72.0|19.2|1|69.1|39.8|NaN|1|357|1|t|H
537|8|57|15208|69.1|39.8|100|NaN|NaN|NaN|1|357|1|t|H
537|8|57|15208|69.1|39.8|101|66.1|40.0|NaN|1|357|1|t|H
538|8|58|15208|66.1|40.0|1|74.0|39.2|NaN|1|357|1|t|H
538|8|58|55634|74.0|39.2|100|NaN|NaN|NaN|1|357|1|t|H
539|8|59|55634|74.0|39.2|1|64.2|38.5|NaN|1|357|1|t|H
539|8|59|15208|64.2|38.5|100|NaN|NaN|NaN|1|357|1|t|H
540|9|0|15208|64.2|38.5|1|76.3|39.5|NaN|1|357|1|t|H
542|9|2|15312|25.5|56.6|8|NaN|NaN|NaN|1|632|1|f|A
542|9|2|55634|76.7|39.2|1|74.8|45.7|NaN|1|357|0|t|H
544|9|4|55661|30.8|59.7|49|NaN|NaN|NaN|1|632|1|f|A
544|9|4|55661|31.0|58.5|1|36.6|56.9|NaN|1|632|1|t|A
546|9|6|19054|0.0|0.0|43|NaN|NaN|NaN|1|632|1|f|A
550|9|10|19054|35.8|65.1|4|NaN|NaN|NaN|1|632|1|f|A
